unique_identifier,timestamp,price
LTC-AUD,1557151226822101,7499
LTC-AUD,1557151226827097,7499
ZEC-AUD,1557151227018103,7059
ETH-AUD,1557151227018112,18827
ETH-AUD,1557151227102099,18827
ETH-AUD,1557151227102099,18827
ETH-AUD,1557151703415999,18398
ETH-AUD,1557151703558980,18398
LTC-AUD,1557151703664982,7470
ETH-AUD,1557151703664984,18389
BTC-AUD,1557151703664997,559566
BTC-AUD,1557151704622985,555641
ETH-AUD,1557151704667988,18337
BTC-AUD,1557151704666985,555641
BTC-AUD,1557151705176987,558440
BTC-AUD,1557151705423004,555086
LTC-AUD,1557151705498989,7798
LTC-AUD,1557151705498990,7798
BTC-AUD,1557151705520987,555086
BTC-AUD,1557151705520987,555086
LTC-AUD,1557151705925999,7825
LTC-AUD,1557151706086989,7825
LTC-AUD,1557151706086989,7825
LTC-AUD,1557151706181000,7482
LTC-AUD,1557151706427005,7822
LTC-AUD,1557151706482991,7822
LTC-AUD,1557151706482992,7822
LTC-AUD,1557151706482993,7822
ZEC-AUD,1557151707429998,6810
ETH-AUD,1557151707430015,18398
ZEC-AUD,1557151707493995,6810
ZEC-AUD,1557151707493995,6810
ETH-AUD,1557151707487996,18398
ETH-AUD,1557151707487997,18398
ETH-AUD,1557151707487998,18398
LTC-AUD,1557151707517997,7803
BTC-AUD,1557151707685009,558423
ETH-AUD,1557151707933005,18357
ETH-AUD,1557151708004997,18357
ETH-AUD,1557151708004997,18357
LTC-AUD,1557151708024998,7803
ETH-AUD,1557151708188010,18286
ETH-AUD,1557151708490001,18398
ETH-AUD,1557151708490002,18398
ZEC-AUD,1557151708691007,6499
BTC-AUD,1557151708935013,555638
BTC-AUD,1557151709007002,555638
BTC-AUD,1557151709007002,555638
LTC-AUD,1557151709193015,7450
BTC-AUD,1557151870038635,564404
BTC-AUD,1557151870038636,564404
BTC-AUD,1557151870038636,564410
ZEC-AUD,1557151870097635,6407
ZEC-AUD,1557151371612673,6999
BTC-AUD,1557151371612683,545598
ETH-AUD,1557152050172348,18618
LTC-AUD,1557152050172358,7515
ETH-AUD,1557152050286345,18618
LTC-AUD,1557152050298345,7515
ZEC-AUD,1557152050341347,6571
LTC-AUD,1557152051175358,7527
ETH-AUD,1557152051175364,18576
LTC-AUD,1557152051250349,7527
LTC-AUD,1557152051250349,7527
ETH-AUD,1557152051248351,18576
BTC-AUD,1557152051679363,569848
BTC-AUD,1557152051819353,569848
LTC-AUD,1557152052183370,7524
LTC-AUD,1557152052486356,7524
LTC-AUD,1557152052486356,7524
ZEC-AUD,1557151349523587,7052
ETH-AUD,1557151349702585,18788
ETH-AUD,1557151349792585,18788
ETH-AUD,1557151349792586,18895
ETH-AUD,1557151349792587,18895
LTC-AUD,1557151349789594,7867
ETH-AUD,1557151349938584,18492
ETH-AUD,1557151349938584,18492
LTC-AUD,1557151350194585,7867
ZEC-AUD,1557151350294593,6830
LTC-AUD,1557151350800590,7836
BTC-AUD,1557151352840601,553303
BTC-AUD,1557151352898596,553303
BTC-AUD,1557151352898596,553303
BTC-AUD,1557151781969301,566177
ETH-AUD,1557151782058288,18679
ZEC-AUD,1557151782075290,6772
BTC-AUD,1557151782120291,566177
BTC-AUD,1557151782120292,566177
BTC-AUD,1557151782120293,566177
BTC-AUD,1557151782120295,565060
BTC-AUD,1557151782264298,557800
ZEC-AUD,1557151496576183,6901
ZEC-AUD,1557151496752165,6901
ZEC-AUD,1557151496752165,6901
LTC-AUD,1557151497013168,7607
LTC-AUD,1557151497013169,7607
LTC-AUD,1557151497115167,7607
ZEC-AUD,1557151497802184,6785
ZEC-AUD,1557151498059170,6785
BTC-AUD,1557151498080179,551474
ETH-AUD,1557151498080186,18333
ETH-AUD,1557151498167170,18333
ETH-AUD,1557151498167171,18333
ETH-AUD,1557151498168175,18349
BTC-AUD,1557151498189170,551474
BTC-AUD,1557151498189171,551474
BTC-AUD,1557151498189172,551474
ETH-AUD,1557151498804181,18743
ETH-AUD,1557151498874174,18349
LTC-AUD,1557151498883179,7736
ETH-AUD,1557151498890174,18349
ETH-AUD,1557151498937174,18743
ETH-AUD,1557151498937174,18743
BTC-AUD,1557151499087179,551456
ZEC-AUD,1557151499087181,6894
LTC-AUD,1557151499087184,7770
BTC-AUD,1557151499158177,551456
BTC-AUD,1557151499158177,551456
LTC-AUD,1557151499161174,7770
ZEC-AUD,1557151499165174,6894
ZEC-AUD,1557151499165175,6894
BTC-AUD,1557151499306192,554244
BTC-AUD,1557151499582176,554244
BTC-AUD,1557151499582176,554244
ETH-AUD,1557151501311195,18757
ETH-AUD,1557151501372183,18757
ETH-AUD,1557151501372184,18757
ETH-AUD,1557151501372185,18757
LTC-AUD,1557151502831195,7617
LTC-AUD,1557151502912189,7617
LTC-AUD,1557151502912189,7617
BTC-AUD,1557151504124203,554234
BTC-AUD,1557151504284194,554234
BTC-AUD,1557151504284194,554234
ZEC-AUD,1557151709694014,6506
ZEC-AUD,1557151709945015,6824
LTC-AUD,1557151710197011,7436
ZEC-AUD,1557151710231006,6824
LTC-AUD,1557151710445012,7807
ZEC-AUD,1557151710445021,6803
ETH-AUD,1557151710445022,18341
ETH-AUD,1557151710445026,18347
ZEC-AUD,1557151710499007,6803
ETH-AUD,1557151710507007,18341
ETH-AUD,1557151710507007,18347
ETH-AUD,1557151710507007,18347
LTC-AUD,1557151710510009,7807
LTC-AUD,1557151710510009,7807
BTC-AUD,1557151710699016,556763
BTC-AUD,1557151710760008,556763
ETH-AUD,1557151711702031,18230
BTC-AUD,1557151711964013,554513
BTC-AUD,1557151711964025,554510
BTC-AUD,1557151711964029,554517
ETH-AUD,1557151712098013,18230
BTC-AUD,1557151712264014,554513
BTC-AUD,1557151712264014,554513
BTC-AUD,1557151712267014,554510
BTC-AUD,1557151712267014,554510
BTC-AUD,1557151712273014,554517
BTC-AUD,1557151712329015,554517
LTC-AUD,1557151712467016,7827
LTC-AUD,1557151712467020,7826
ETH-AUD,1557151712467034,18379
ETH-AUD,1557151712522015,18379
ETH-AUD,1557151712522015,18379
LTC-AUD,1557151712528015,7827
LTC-AUD,1557151712528015,7827
LTC-AUD,1557151712528015,7826
LTC-AUD,1557151712528015,7826
BTC-AUD,1557151712708020,555638
ZEC-AUD,1557151712908017,6803
BTC-AUD,1557151712939017,555638
BTC-AUD,1557151712939017,555638
LTC-AUD,1557151713214031,7477
ZEC-AUD,1557151713214032,6511
ETH-AUD,1557151713331021,18341
ZEC-AUD,1557151227102097,7059
ZEC-AUD,1557151227102098,7059
ZEC-AUD,1557151227102099,7059
ZEC-AUD,1557151228065103,6908
LTC-AUD,1557151228079104,7519
LTC-AUD,1557151228079105,7519
ZEC-AUD,1557151228171102,6908
BTC-AUD,1557151228524111,541414
BTC-AUD,1557151228634108,545219
BTC-AUD,1557151228991104,541414
BTC-AUD,1557151228991104,545219
BTC-AUD,1557151228991105,545219
ZEC-AUD,1557151229051107,6916
ETH-AUD,1557151229028112,18841
BTC-AUD,1557151229229106,545219
ZEC-AUD,1557151229229106,6916
ETH-AUD,1557151229243107,18841
ETH-AUD,1557151229243108,18841
ETH-AUD,1557151229243109,18841
ZEC-AUD,1557151229271108,6918
ZEC-AUD,1557151229420107,6918
ETH-AUD,1557151229636111,18652
LTC-AUD,1557151229636113,7841
ZEC-AUD,1557151229712109,6919
ETH-AUD,1557151229874108,18652
ETH-AUD,1557151229874108,18652
LTC-AUD,1557151229873110,7841
LTC-AUD,1557151229873111,7841
